occurrenceID,Bottle_Box_No,Data_Recorder,associatedID,sex,lifeStage,LocalityLabel,country,stateProvince,locality,(DMS) Latitude & Longitude,elevation,decimalLatitude,decimalLongtitude,georeferenceVerificationStatus,family,genus,specificEpithet,identificationQualifier,typeStatus,eventDate,day,month,year,recordedBy,Remark
ARA-2018-235,17,NT,,female,adult,"Chula-Research Station, Lai Nan, Wiang Sa D., Nan",Thailand,Nan,Chula-Research Station,"18°33.200'N, 100°47.533'E",213.1,,,,Tetrangathidae,Leucage,,,,2018-08-10,10,8,2018,"Warrit N., et al.",
ARA-2018-236,17,NT,,male,adult,"Chula-Research Station, Lai Nan, Wiang Sa D., Nan",Thailand,Nan,Chula-Research Station,"18°33.200'N, 100°47.533'E",213.1,,,,Tetrangathidae,Leucage,,,,2018-08-11,11,8,2018,"Warrit N., et al.",
ARA-2018-239,17,NT,,female,adult,"Hoob Watershed Management Unit, Pha Tong, Tha Wang Pha D., Nan",Thailand,Nan,Hoob Watershed Management Unit,"19°13.800'N, 100°45.685'E",355.2,19.22996,100.76134,,,Chilobrachys,,,,2018-08-11,11,8,2018,"Warrit N., et al.",
ARA-2018-241,17,NT,,,adult,"Hoob Watershed Management Unit, Pha Tong, Tha Wang Pha D., Nan",Thailand,Nan,Hoob Watershed Management Unit,"19°13.800'N, 100°45.685'E",355.2,19.22996,100.76134,,,Chilobrachys,,,,2018-08-11,11,8,2018,"Warrit N., et al.",
ARA-2018-244,17,NT,,female,adult,"Hoob Watershed Management Unit, Pha Tong, Tha Wang Pha D., Nan",Thailand,Nan,Hoob Watershed Management Unit,"19°13.800'N, 100°45.685'E",355.2,19.22996,100.76134,,,Chilobrachys,,,,2018-08-11,11,8,2018,"Warrit N., et al.",
ARA-2018-255,17,NT,,female,adult,"Doi Pha Hom Pok Np., Pong Nam Ron, Fang D., Chiang Mai",Thailand,Chiang Mai,Doi Pha Hom Pok National Park,"19°58'29.6""N, 99°11'42.7""E",549,19.97489,99.19524,,,Chilobrachys,,,,2018-12-18,18,12,2018,"Warrit N., et al.",
ARA-2018-295,17,NT,,female,adult,"Wang Tra Krai WF., Sarika, Mueang D., Nakhon Nayok",Thailand,Nakhon Nayok,Wang Tra Krai Waterfall,"14°20'08.5""N, 101°18'22.1""E",,14.25996,101.22757,,,Cyriopagopus,,,,2018-11-27,27,11,2018,"Sivayyapram V., Daiqin L.",
ARA-2018-304,17,NT,,female,adult,"Kaeng Kalau WF., Phu Chong Na Yoi NP., Na Chaluai, Na Chaluai D., Ubon Ratchathani",Thailand,Ubon Ratchathani,Kaeng Kalau Waterfall,"14°26'10.98""N, 105°16'37.025""E",322,,,,Lycosidae,,,,,2018-11-28,28,11,2018,"Traiyasut P., et al.",
ARA-2018-325,17,NT,,female,adult,"Ang Khang Royal Agricultural Station, Fang D., Chiang Mai",Thailand,Chiang Mai,Ang Khang Royal Agriculture Station,"19°54'38.66""N, 99°02'45.36""E",1479,19.90928,99.04133,,Atypidae,,,,,2018-12-17,17,12,2018,"Warrit N., et al.",
ARA-2018-326,17,NT,,female,adult,"Ang Khang Royal Agricultural Station, Fang D., Chiang Mai",Thailand,Chiang Mai,Ang Khang Royal Agriculture Station,"19°54'38.66""N, 99°02'45.36""E",1479,19.90928,99.04133,,Atypidae,,,,,2018-12-17,17,12,2018,"Warrit N., et al.",
